Name,Description,PointCost,PriceFactor,PriceOverride,isEpic,Categories,internType,Slots,Source,GUID
CloakOfTheLionEnchantment,,+1,,,,,Other,,Owlcat+,af24e674d4279cf468182bf612513b73
CloakOfTheWinterWolfEnchantment,,+1,,,,,Other,,Owlcat+,d89021651911c1a48bad11c599e9eff3
CloakOfWyvernEnchantment,,+1,,,,,Other,,Owlcat+,2421a9a5ceac85b488d7df4ed289d9b5
ClockworkPendantEnchantment,,+1,,,,,Other,,Owlcat+,6701ac43a4cda8b48bccbfbe2cb06673
ClothOfBlazingFighterEnchantment,,+1,1000,,,,Armor,,Owlcat+,3a775ab2a0df6994eb3743e599b16f44
ClubWithNailsEnchantment,,+1,2000,,,,Weapon,,Owlcat+,a3bafa55682aa5d47985a4b66f45d01a
ClutchOfCorruptionEnchantment,,+1,,,,,Other,,Owlcat+,8a433f9b5ecd4946a5c857c4ea069caf
CobraPadsEnchantment,,+1,,,,,Other,,Owlcat+,88f95c33d8ec444dacd059016bc9e520
ColdIronWeaponEnchantment,"This iron, mined deep underground and known for its effectiveness against demons and fey creatures, is forged at a lower temperature to preserve its delicate properties.",0,,2000,,"Bane, Material",Weapon,Armor,Owlcat+,e5990dc76d2a613409916071c898eee8
ColdKineticBladeEnchantment,,+1,2000,,,,Weapon,Weapon,Owlcat+,f0d100f6928043b47825649bbce28d6d
ColdMidnightEnchantment,,+1,2000,,,,Weapon,,Owlcat+,75026ea01e8cb3144a1e675726f1cc1e
ColdResistance10Enchant,Provides 10 points of resistance against cold damage.,0,1000,18000,,,Armor,Armor,TTRPG,c872314ecfab32949ad2e0eebd834919
ColdResistance10Enchantment,Provides 10 points of resistance against cold damage.,0,,,,,Other,Armor,TTRPG,04fa37ad59430984987ae8f396c0d1fd
ColdResistance15Enchant,Provides 15 points of resistance against cold damage.,0,1000,30000,,,Armor,Armor,Owlcat,581c22e55f03e4e4f9f9ea619d89af5f
ColdResistance15Enchantment,Provides 15 points of resistance against cold damage.,0,,,,,Other,Armor,Owlcat,ba56dc2d1786b9348a3a4d10f82aad85
ColdResistance20Enchant,Provides 20 points of resistance against cold damage.,0,1000,42000,,,Armor,Armor,TTRPG,510d87d2a949587469882061ee186522
ColdResistance25Enchantment,Provides 25 points of resistance against cold damage.,0,,,,,Other,Armor,Owlcat,644b3c389df58fb4ea1a83365881e2b6
ColdResistance30Enchant,Provides 30 points of resistance against cold damage.,0,1000,66000,,,Armor,Armor,TTRPG,7ef70c319ca74fe4cb5eddea792bb353
ColorlessRemainsBreastplate_MadnessEnchantment,,+1,1000,,,,Armor,,Owlcat+,8de0fb5ff97d426b8eb82215c895e9a8
ColorlessRemainsBreastplate_SolidEnchantment,,+1,1000,,,,Armor,,Owlcat+,87345c9a8b004ac29a23d56523f2fdce
ColorlessRemainsGoggles_SolidEnchantment,,+1,,,,,Other,,Owlcat+,3c62e48bfec049b99f7c7f6759c42b1f
ColorlessRemainsQuiver_MadnessEnchantment,,+1,2000,,,,Weapon,,Owlcat+,86dba4a819614a82b1cbfdb26f176e96
ColorlessRemainsQuiver_SolidEnchantment,,+1,2000,,,,Weapon,,Owlcat+,6b96bd7de4af437da164dc5fd83ca11b
ConmansRingEnchantment,,+1,,,,,Other,,Owlcat+,e9955fdb6e592f948b1ef4135c25fc1a
ConnectiontoEarthBoostEnchantment,,+1,1000,,,,Armor,,Owlcat+,f5469ce203c55ab48b05abbc8a21e475
Constitution1,Give +1 enhancement bonus to Constitution,+1,1000,,,,Other,Belt,TTRPG,795961be949cb474ca408d32258a836c
Constitution2,Give +2 enhancement bonus to Constitution,+2,1000,,,,Other,Belt,TTRPG,b98215ae135fe7144b20a2754e0fbda2
Constitution3,Give +3 enhancement bonus to Constitution,+3,1000,,,,Other,Belt,TTRPG,043bc1d4743b9ef4ba3f90795de4249c
Constitution4,Give +4 enhancement bonus to Constitution,+4,1000,,,,Other,Belt,TTRPG,4b9573fa2b0e74043a4682740e9ae138
Constitution5,Give +5 enhancement bonus to Constitution,+5,1000,,,,Other,Belt,TTRPG,7177e86c5fdfb45448e812442b9baa46
Constitution6,Give +6 enhancement bonus to Constitution,+6,1000,,,,Other,Belt,TTRPG,177510057a2f71a4c8e61bebabaefa28
Constitution7,Give +7 enhancement bonus to Constitution,+7,1000,,TRUE,,Other,Belt,TTRPG,cbe45c9801e26464cba9114db5caac1f
Constitution8,Give +8 enhancement bonus to Constitution,+8,1000,,TRUE,,Other,Belt,TTRPG,e2a5712732f52064494ed0b818440929
Constitution9,Give +9 enhancement bonus to Constitution,+9,1000,,TRUE,,Other,Belt,TTRPG,975598b8e8836fc43ac97da2635272c6
ContagiousShroudEnchantment,,+1,,,,,Other,,Owlcat+,7eebb46a3368e9b458f605611aec89d5
CordOfStubbornFuryEnchant,,+1,,,,,Other,,Owlcat+,b27f55b3881e10444ba69e607a36958e
Corrosive,Corrosive weapon deals an extra 1d6 points of acid damage on a successful hit.,+1,2000,,,"AdditionalDamage, Elemental",Weapon,Weapon,TTRPG,633b38ff1d11de64a91d490c683ab1c8
Corrosive2d6,Caustic weapon deals an extra 2d6 points of acid damage on a successful hit.,+2,2000,,,"AdditionalDamage, Elemental",Weapon,Weapon,Owlcat,2becfef47bec13940b9ee71f1b14d2dd
CorrosiveBurst,"A corrosive burst weapon functions as a corrosive weapon that also explodes with acid upon striking a successful critical hit. The acid does not harm the wielder. In addition to the extra 1d6 acid damage from the corrosive ability, a corrosive burst weapon deals an extra 1d10 points of acid damage on a successful critical hit. If the weapon's critical multiplier is ×3, add an extra 2d10 points of acid damage instead, and if the multiplier is ×4, add an extra 3d10 points of acid damage.",+2,2000,,,"AdditionalDamage, Critical, Elemental",Weapon,Weapon,TTRPG,0cf34703e67e37b40905845ca14b1380
CorsetOfDireWitchcraftEnchantment,,+1,,,,,Other,,Owlcat+,c02b6fdae6ac49278418219355d7b765
CrazyScientistsGlovesEnchant,,+1,,,,,Other,,Owlcat+,4e4ee1f385229594fb9d309812003371
CrimsonMoonEnchantment,,+1,2000,,,,Weapon,,Owlcat+,6344f483e53d491fabbdc28fbedfa832
CripplingKissEnchantment,,+1,2000,,,,Weapon,,Owlcat+,271cf24a8f1ba92499f42b8b295c4b68
CritAutoconfirmAgainstEvil,All critical hit rolls against evil foes are automatically successful.,+2,2000,,,"Critical, Alignment",Weapon,Weapon,Owlcat,8c381459747746341be72f7fa0112e10
CriticalMultiplierIncrease,Critical multiplier of this weapon is increased by 1.,+3,2000,,,Critical,Weapon,Weapon,Owlcat,5b1550c536bd09740bf43a6ddd1ad919
CrossbowOfJudgementChaoticEnchantment,,+1,2000,,,,Weapon,,Owlcat+,9795364fcb0970541a75057a831b9dd9
CrossbowOfJudgementEvilEnchantment,,+1,2000,,,,Weapon,,Owlcat+,faa140906bc385e43bf4ecf2f6267c76
CrownOfElementsEnchant,,+1,,,,,Other,,Owlcat+,b7ce92c6589960d459148b4c1df5348f
CrownOfFearEnchant,,+1,,,,,Other,,Owlcat+,7e752296e3e8cfc41a499a2f7d97749c
CruelEnchantment,"When the wielder strikes a creature that is frightened or shaken with a cruel weapon, that creature becomes sickened for 1 round. When the wielder uses the weapon to knock unconscious or kill a creature, he gains 5 temporary hit points that last for 10 minutes.",+1,2000,,,"StatusAndCC, Defensive",Weapon,Weapon,TTRPG,629c383ffb407224398bb71d1bd95d14
CruelFateEnchantment,,+1,2000,,,,Weapon,,Owlcat+,e4459db6cc251ba45b7f4f2e97b65b62
CrushingBurdenEnchantment,"Whenever the wielder of this +5 vicious gnome hooked hammer lands 3 consecutive hits on the same enemy, the enemy must pass a Fortitude saving throw (DC 28) or become fatigued. Whenever the wielder lands 3 consecutive hits on a fatigued enemy, that enemy must pass a Fortitude saving throw (DC 31) or become exhausted.",+1,2000,,,StatusAndCC,Weapon,Weapon,Owlcat+,64112519b83044b6a6422fbc7afb4f22
CrushingMountainEnchantment,,+1,2000,,,,Weapon,,Owlcat+,758c91259fce9094f9c03275fd6c752f
CryptRaidersArmorEnchantment,,+1,1000,,,,Armor,,Owlcat+,c482520d00b7e334aacc463f37b08626
CrystalDaggerEnchantment,,+1,2000,,,,Weapon,,Owlcat+,ac3b2efb35ed4c04d8be2db24f013847
CrystallEyeEnchantment,,+1,,,,,Other,,Owlcat+,8aea2864d9a077a4280baaccfb6cd194
CrystalMaidenEnchantment,,+1,1000,,,,Armor,,Owlcat+,69c69daf94e34daebffe70614fe28670
CursedBardVoiceAmulet_SirenEnchantment,,+1,,,,,Other,,Owlcat+,107aee843c854047932bfa5200eece96
CursedBardVoiceAmulet_VoiceEnchantment,,+1,,,,,Other,,Owlcat+,9bbad988e6914f4baef06c8d4773f57e
CursedBardVoiceUsable_IntermediateEnchantment,,+1,,,,,Other,,Owlcat+,608c4600d5004bf281042c5b571fd57e
CursedDelameresArmorEnchantment,,+1,1000,,,,Armor,,Owlcat+,62a6f27e8086f4e4c983e8c55002e811
CursedDelameresBowEnchantment,,+1,2000,,,,Weapon,,Owlcat+,cc64101c2e21fd648978229ef48c961c
CursedThornArrowsQuiverEnchantment,,+1,2000,,,,Weapon,,Owlcat+,6b9f5e2fc33622144b2de35d45de6a2b
DaggerOfFateFirstEnchantment,,+1,2000,,,,Weapon,,Owlcat+,5179b6ef2b3248d2ab22f5fa7c1308df
DaggerOfFateSecondEnchantment,,+1,2000,,,,Weapon,,Owlcat+,aa9cc203a4a24a7580ec7791f9b4b7da
DaggerOfLifeEnchantment,,+1,2000,,,,Weapon,,Owlcat+,bf9f64c90a800a9448d83a4ebc74284b
DaggerOfTheBetrayerEnchantment,,+1,2000,,,,Weapon,,Owlcat+,dad4a4a2d92a4cd0bd363112b19d79bc
DamageResistance2Enchant,,+1,1000,,,,Armor,,Owlcat+,ac5ecc3e9ea3cc24b90e641d3684c067
DamageResistance2MeleeEnchant,,+1,1000,,,,Armor,,Owlcat+,500d0eaa4ab890442b0b10e21baa7452
DaredevilBootsEnchantment,,+1,,,,,Other,,Owlcat+,fbab1327c11a43788e05443690da8654
DaredevilsBeltEnchantment,,+1,,,,,Other,,Owlcat+,2641c60243f3b824bbf59a2ae19de8d5
DarkAcolytesRobeConcentrationEnchant,,+1,1000,,,,Armor,,Owlcat+,2882032b6948a1a44aa291e1203e5135
DarkAcolytesRobeKnowledgeEnchant,,+1,1000,,,,Armor,,Owlcat+,15841b0ab6dd21641aea19c301ae3275
DarkBiddingSlingstaffNecrotic2d8,Greater necrotic weapons are a bane to all living things and deal 2d8 points of negative energy damage on a successful hit.,+1,2000,,,"AdditionalDamage, Elemental",Weapon,Weapon,Owlcat,c2229230ff9292048b07a8429d6536c6
DarkForestEnchantment,,+1,2000,,,,Weapon,,Owlcat+,cddac7596abd9d94c83151db6b909736
DarkMastersRobeConcentrationEnchant,,+1,1000,,,,Armor,,Owlcat+,4d69aaff9f2137a48ba6c88f947ff47a
DarkMastersRobeKnowledgeEnchant,,+1,1000,,,,Armor,,Owlcat+,a63d5d82a57c54842b9de22c7f23adf8
DarknessCaressEnchantment,,+1,,,,,Other,,Owlcat+,76e24a70b39e4cf9947ecec1daae9b12
DarkOmenEnchantment,,+1,,,,,Other,,Owlcat+,c1c0e5fb8e93a0043bcf1e0017b185a9
DarkwindDaggerEnchantment,,+1,2000,,,,Weapon,,Owlcat+,cb1808d911056cc4b912516c68f939fc
DashingCavaliersGlovesEnchantment,,+1,,,,,Other,,Owlcat+,767793db17645ca41aad152cefd8c8bb
DawnflowersKiss_Evil_ScimitarEnchantment,,+1,2000,,,,Weapon,,Owlcat+,50aaa83762ed4d6b8e39592d4d55fcf8
DawnflowersKiss_Good_ScimitarEnchantment,,+1,2000,,,,Weapon,,Owlcat+,b5ba233c6fe34f07b18687dbd4fd690e
DawnflowersKiss_Good02_ScimitarEnchantment,,+1,2000,,,,Weapon,,Owlcat+,04df81bad85b49c8a50a463c3b32f943
DawnflowersKiss_Good02_ScimitarOffhandEnchantment,,+1,2000,,,,Weapon,,Owlcat+,8ddb9a3b3dd84aa6b35d1c7681e719a9
DawnOfLifeEnchantment,,+5,1000,,,,Armor,,Owlcat+,59753ef3714a10c4d863ab8a0062c646
DaybreakEnchantment,,+1,2000,,,,Weapon,,Owlcat+,1ea524848c03468faa8a527501867961
DeadeyeEnchantment,,+1,2000,,,,Weapon,,Owlcat+,32712327ae4241f47bb7fc96027799dd
DeadlyGraceEnchant,"Whenever the wielder of this weapon successfully lands a hit, the target must succeed at a Fortitude saving throw (DC 15) or be injected with acid that deals 2d4 damage every round for 3 rounds.",+1,2000,,,"AdditionalDamage, Elemental",Weapon,Weapon,Owlcat+,f674d7c3fd9f70b429c321ad84e4c116
DeadlyIvyEnchantment,,+1,2000,,,,Weapon,,Owlcat+,62d3fc9416444ff4cad1ce897ca8363c
DeadlyRaysEnchantment,,+1,1000,,,,Armor,,Owlcat+,dcfc21064c91497aa58801d5b3f45733
DeadlyTollEnchantment,,+1,2000,,,,Weapon,,Owlcat+,86d9df91e8a31b046bdab6a9fa90209e
DeathbedServantEnchantment,,+1,2000,,,,Weapon,,Owlcat+,6cca68e0ac90e7c45a7fa0a19879f545
DeathlyArousalEnchantment,,+1,,,,,Other,,Owlcat+,47278cec1e3827145b364e0d93201bc7
DeathPactEnchantment,,+1,2000,,,,Weapon,,Owlcat+,0433071606d94ed3b4006fa1b6348272
DecaySpreaderEnchantment,,+1,2000,,,,Weapon,,Owlcat+,7256972c474b47e1bb2b6e9b220f28d5
DeceivingFacadeEnchantment,,+1,,,,,Other,,Owlcat+,95c9f080488064048b397f2123969244
DecimationEnchantment,,+1,2000,,,,Weapon,,Owlcat+,4089b36927e8729479fbb136957da704
DeepRipEnchantment,,+1,2000,,,,Weapon,,Owlcat+,c26dc3033c854630a12e2c57b3f701f6
DefendersBulwarkShieldEnchantment,,+1,,,,,Other,,Owlcat+,3b43ba9fabbad934e9f8c6d4233f33ec
DefendersNemesisEnchantment,,+1,2000,,,,Weapon,,Owlcat+,766bf47461ae49448efe2e29a18a2c4d
DefenseByOffenceEnchantment,,+1,2000,,,,Weapon,,Owlcat+,fb21ff79639d6c742bc44775a2c3da7b
DefilerEnchantment,,+1,2000,,,,Weapon,,Owlcat+,960b5fd745424c339354272bed9ac78d
Deflection1,Grants a +1 deflection bonus to AC.,+1,2000,,,,Other,Ring,TTRPG,990dcac8a5af75340916324383deac53
Deflection2,Grants a +2 deflection bonus to AC.,+2,2000,,,,Other,Ring,TTRPG,9205b68509ff1db41915bb4f3aba3a04
Deflection3,Grants a +3 deflection bonus to AC.,+3,2000,,,,Other,Ring,TTRPG,770ff94f548368743a5fc63f2cf5b0b6
Deflection4,Grants a +4 deflection bonus to AC.,+4,2000,,,,Other,Ring,TTRPG,be195c1cea964e745a198ddadecbaec5
Deflection5,Grants a +5 deflection bonus to AC.,+5,2000,,,,Other,Ring,TTRPG,d86770714ac85d64793b264f755b1764
Deflection6,Grants a +6 deflection bonus to AC.,+6,2000,,,,Other,Ring,Owlcat,a26b708426c4e764896da00aa3ae533c
Deflection7,Grants a +7 deflection bonus to AC.,+7,2000,,,,Other,Ring,Owlcat,6e287c9bbb6b4726841566a2d2083c5a
DelameresArmorEnchantment,,+1,1000,,,,Armor,,Owlcat+,272f416b49031c44dbff953aef32428d
DelameresBowEnchantment,,+1,2000,,,,Weapon,,Owlcat+,0a53613d8cd418d468b0e94127b78a8f
DeliquescentGlovesEnchantment,,+1,,,,,Other,,Owlcat+,189e42b86e7fb284faa8501bac2a894c
DemonicAltarAgilityClothEnchantment,,+1,1000,,,,Armor,,Owlcat+,7d5426d87cf15504e95da90df8409ae2
DemonicAltarAgilityPaddedEnchantment,,+1,1000,,,,Armor,,Owlcat+,21b3d8805b4ce814b8d4124c1921e9e1
DemonicAltarMasochisticClothEnchantment,,+1,1000,,,,Armor,,Owlcat+,fe30acc7dec1c02408d73b436dde6ba2
DemonicAltarMasochisticPaddedEnchantment,,+1,1000,,,,Armor,,Owlcat+,d2879a41adb56bc458c24728f073d89a
DemonicAltarTrypophobiaClothEnchantment,,+1,1000,,,,Armor,,Owlcat+,9ea1aa3cd192dff4992fd10e9f10e5ec
DemonicAltarTrypophobiaPaddedEnchantment,,+1,1000,,,,Armor,,Owlcat+,02900b02ff666744599edb496a28f19b
DemonicHungerEnchantment,,+1,2000,,,,Weapon,,Owlcat+,38e7543e6d3c9ea43ad4ba3be537d6a2
DemonicResentmentEnchantment,,+1,,,,,Other,,Owlcat+,b9a1f3221435cd64b8a3c6cdfc780b0f
DemonsTerrorEnchantment,,+1,2000,,,,Weapon,,Owlcat+,e2ce5710ab251084ab5c03fa314d578e
DemonsTerrorEnchantmentNew,,+1,2000,,,,Weapon,,Owlcat+,35f9d30bda084417876db3fd67dbce3b
DervishCloakEnchant,,+1,1000,,,,Armor,,Owlcat+,b2fc25f53129c2548b5e4048497bb43d
DesertMirageEnchantment,,+1,1000,,,,Armor,,Owlcat+,c58ca74a08ec4b23a50ca19c72404960
DestroyerOfPlanesEnchantment,,+1,2000,,,,Weapon,,Owlcat+,f534453a5edb400bb5e9eb12c42f5001
DetainerEnchantment,,+1,2000,,,,Weapon,,Owlcat+,b0fa3fd018b4c194698cf3839847cd25
Deteriorative,Deteriorative weapons a bane to all living things and deal 3d6 points of negative energy damage on a successful hit.,+3,2000,,,"AdditionalDamage, Elemental",Weapon,Weapon,Owlcat,bbe55d6e76b973d41bf5abeed643861d
DeterrenceEnchantment,,+1,2000,,,,Weapon,,Owlcat+,b856958abad701340ac9ad9e1f60e55e
DevastatingBlowFromAboveEnchantment,,+1,2000,,,,Weapon,,Owlcat+,1684be60cc3f8fd46b7aec30dc03e227
DevilsBootsEnchantment,,+1,,,,,Other,,Owlcat+,91501be1ada12304eb3c654e3afce24c
DevilsSashEnchant,,+1,,,,,Other,,Owlcat+,ccf78253ec9b54e48b387344604e44d0
DevitalizerEnchantment,,+1,2000,,,,Weapon,,Owlcat+,577af31035b34142a2235083c09220be
DevourerOfMetalEnchant,Weapon deals an extra 2d6 points of acid damage on a successful hit.,+1,2000,,,"AdditionalDamage, Elemental",Weapon,Weapon,Owlcat,d0c3002b7efc3b647993df15b3bcb65d
Dexterity1,Give +1 enhancement bonus to Dexterity,+1,1000,,,,Other,Belt,TTRPG,e13c1075e3ce6474199ef09630da83a5
Dexterity2,Give +2 enhancement bonus to Dexterity,+2,1000,,,,Other,Belt,TTRPG,2042beb64a5e12443be55b413d7ff733
Dexterity3,Give +3 enhancement bonus to Dexterity,+3,1000,,,,Other,Belt,TTRPG,3a95648622743c64e9b4301490252324
Dexterity4,Give +4 enhancement bonus to Dexterity,+4,1000,,,,Other,Belt,TTRPG,15008553994dd7e48af2ad1a1426d733
Dexterity5,Give +5 enhancement bonus to Dexterity,+5,1000,,,,Other,Belt,TTRPG,513e572bb72fcfd45ab819a11e02b15d
Dexterity6,Give +6 enhancement bonus to Dexterity,+1,1000,,,,Other,Headband,TTRPG,f3c17dcbd7a0e554eba4262fffa8f33b
Dexterity7,Give +7 enhancement bonus to Dexterity,+7,1000,,TRUE,,Other,Headband,TTRPG,56e36c9d320b5fa40801a0d8f53c1641
Dexterity8,Give +8 enhancement bonus to Dexterity,+8,1000,,TRUE,,Other,Headband,TTRPG,5614fc22a6e629c43a72a2559ab8213f
Dexterity9,Give +9 enhancement bonus to Dexterity,+1,1000,,TRUE,,Other,Belt,TTRPG,4c5604def1162bc4586befbaec5f9618
DiplomacyPenalty3,,+1,1000,,,,Armor,,Owlcat+,c2d44882eedc3b64fab5179ebf8d4350
DisembowelerEnchantment,,+1,2000,,,,Weapon,,Owlcat+,38970e861eb243ad9ebf95c5ef067d54
DiskOfUnbalanceEnchantment,,+1,,,,,Other,,Owlcat+,74a49e6878664b649288868565396492
DisplayOfPowerEnchantment,,+1,,,,,Other,,Owlcat+,d3bca607f82a5dd49bc014f6ca38453b
DisruptingWeapon,A disruption weapon is the bane of all undead. Any undead creature struck in combat must succeed on a DC 14 Will save or be destroyed. A disruption weapon must be a bludgeoning melee weapon.,+2,2000,,,"Bane, DC",Weapon,Weapon,Owlcat+,7a41c4df836a0e34daa6e82c2bad8a85
Disruption,A disruption weapon is the bane of all undead. Any undead creature struck in combat must succeed on a DC 14 Will save or be destroyed. A disruption weapon must be a bludgeoning melee weapon.,+2,2000,,,"Bane, DC",Weapon,Weapon,TTRPG,0f20d79b7049c0f4ca54ca3d1ea44baa
DivineDismissalEnchantment,,+1,2000,,,,Weapon,,Owlcat+,dbbac4cf8ba06864c958f47ae6d4146f
DivineProtectorArmorEnchantment,,+1,,,,,Other,,Owlcat+,b759e9d8c59eccf4880c31c2221dc502
DLC1ZachariusFallenWandEnchantment,,+1,1000,,,,Armor,,Owlcat+,d132a21801be48f683893fc82f3e4c2a
DLC2ChainshirtStandardRustyEnchantment,,+1,2000,,,,Weapon,,Owlcat+,a2194bf921054bea9f6574c224e13f4b
DLC2CrossbowEnchantment,,+1,2000,,,,Weapon,,Owlcat+,53632fb9663445b19105025adf450b0a
DLC2RustyDaggerEnchantment,,+1,2000,,,,Weapon,,Owlcat+,3b277a58c33c4fe68ebb42a6c72b603e
DLC2ShortbowEnchantment,,+1,2000,,,,Weapon,,Owlcat+,9f69df901e2a4106a8d871b968c9acd8
DLC2ShortspearEnchantment,,+1,2000,,,,Weapon,,Owlcat+,07de6c83aa2c423f897b6904ba270216
DLC3_AmuletOfCombatAwarenessEnchantment,,+1,,,,,Other,,Owlcat+,54cfff4515384a38804ca0e45207c480
DLC3_BeautybreakerEnchantment,,+1,2000,,,,Weapon,,Owlcat+,646588bc44814f25b73ed8d8c98d3f18
DLC3_BeautyslasherEnchantment,,+1,2000,,,,Weapon,,Owlcat+,38cd022c3d19436586d5e4b4d56f6ea5
DLC3_BonesnatcherScytheEnchantment,,+1,2000,,,,Weapon,,Owlcat+,4faa4fc450cb4d438b450fdce9c5e810
DLC3_BootsOfUndersumpEnchantment,,+1,,,,,Other,,Owlcat+,fde4d5f97f834c7a8db4517eed180e68
DLC3_BracersOfBraveryEnchantment,"The wearer of these bracers gains a +2 morale bonus on all Will saving throws. They also grant the ability to cast the heroism, greater spell as a 15th level wizard once per day.",+1,1000,,,"Spellcasting, Defensive",Armor,Wrist,Owlcat+,338dbdb19b584050a99e82d705fd8a66
DLC3_BrokenTricksterAlignmentEnchantment,,+1,,,,,Other,,Owlcat+,9f5c5e8205604a018086590829bb5a6c
DLC3_BrokenTricksterEnchantment,,+1,,,,,Other,,Owlcat+,62db31daa40146f7b0be0e02b3bf9a18
DLC3_BrokenTricksterPoisonImmunityEnchantment,,+1,,,,,Other,,Owlcat+,f0154af8f3f541f9b7a9a2c5679e38e0
DLC3_ButcheringGreataxeEnchantment,,+1,2000,,,,Weapon,,Owlcat+,47cd9bd112c24d4e9b0a4400bcdee6e2
DLC3_CloakOfRadianceEnchantment,,+1,,,,,Other,,Owlcat+,06cec593bd28452a9a3a710bfb46abb3
DLC3_CloakOfSweetSpeakEnchantment,,+1,,,,,Other,,Owlcat+,b746adf5d653427cbeeacd6ff610db15
DLC3_DefacerWarhammerEnchantment,,+1,2000,,,,Weapon,,Owlcat+,c3b2c58b5e794064b09c6b59308d301f
DLC3_DemonbaneFalcataEnchantment,,+1,2000,,,,Weapon,,Owlcat+,1c6ad04291af4c21897f0f25259e6690
DLC3_DemonhideLeatherArmorEnchantment,,+1,1000,,,,Armor,,Owlcat+,f8494f446b324cfcb5d8a4be3b859f2d
DLC3_EvercoldHeavyCrossbowEnchantment,,+1,2000,,,,Weapon,,Owlcat+,7eea1f49ab5648e2a4433debe95341be
DLC3_GlassesOfundeniableTruthEnchantment,,+1,,,,,Other,,Owlcat+,303e8c4538c94aa89752a9579f7ef734
DLC3_GlovesOfSurgicalExtractionEnchantment,,+1,,,,,Other,,Owlcat+,0524503389fe4d23b710428f66781a66
DLC3_GuardianBattleaxeEnchantment,,+1,2000,,,,Weapon,,Owlcat+,65734781b09647ed92177461a50d92d6
DLC3_GuardianHeavyShieldEnchantment,,+1,1000,,,,Armor,,Owlcat+,2491c3d7e94f4873bc67e465b0e588d2
DLC3_HelmOfBitterEndEnchantment,,+1,,,,,Other,,Owlcat+,e0df18fe4db4473b91c92f3c915948c0
DLC3_JabstabberPunchdaggerEnchantment,,+1,2000,,,,Weapon,,Owlcat+,87993b9a4ec6458d9afb79bda10acd5b
DLC3_KapaoEnchantment,,+1,2000,,,,Weapon,,Owlcat+,10a6279460384455aec3031827994dea
DLC3_NahyndrianBladeWeaponEnchantment,,+1,2000,,,,Weapon,,Owlcat+,d40541d034cc459bb87eb71f63ee5107
DLC3_NahyndrianHolySymbolEnchantment,,+1,,,,,Other,,Owlcat+,defb539b70c749c3b03ac7d60bbe1205
DLC3_NahyndrianVorpalBladeWeaponEnchantment,,+1,2000,,,,Weapon,,Owlcat+,b17a18b184274136b479eee076f1e588
DLC3_RingOfInstantTriumphEnchantment,,+1,,,,,Other,,Owlcat+,cf86e52d03964ac4af5203ab478deba7
DLC3_RobeOfTheSinmageEnchantment,,+1,,,,,Other,,Owlcat+,f583e44cd3a742a28cb5253c09e3db6e
DLC3_RobeOfUnspeakableTruthEnchantment,,+1,,,,,Other,,Owlcat+,52491d2c417244879a718169e2179591
DLC3_ShadowBalorFX,An unholy weapon is imbued with unholy power. This power makes the weapon evil-aligned and thus bypasses the corresponding damage reduction. It deals an extra 2d6 points of damage against all creatures of good alignment.,+2,2000,,,"AdditionalDamage, Alignment",Weapon,Weapon,Owlcat+,9abd18bca8394dc18b17318481e06933
DLC3_StaffOfTheMightySummonsEnchantment,,+1,2000,,,,Weapon,,Owlcat+,3bba9f4c1d3d427eb026cb6e794d58e7
DLC3_StandhardArmorEnchantment,,+1,1000,,,,Armor,,Owlcat+,d4f5fbfb6ea5460f945146c216681090
DLC3_TrickstersPromiseEnchantment,,+1,,,,,Other,,Owlcat+,c504c67525df49bcacedb76cf79629dc
DLC5_AbsoluteDarknessEnchantment,,+1,1000,,,,Armor,,Owlcat+,45422740774e4e8da7903b7663493b09
DLC5_DarkLifeRingEnchantment,,+1,,,,,Other,,Owlcat+,67454e07466246ac916e553ccf268fdd
DLC5_DazzledDaggerEnchantment,,+1,2000,,,,Weapon,,Owlcat+,031bd8e80f1e4bbb988c8d2d572873d3
DLC5_DruchiteArrowsQuiverEnchantment,,+1,2000,,,,Weapon,,Owlcat+,0849d96c0600483eaa25765d5f4952fc
DLC5_ExplosiveEnthusiasmEnchantment,,+1,2000,,,,Weapon,,Owlcat+,6aed55fedaca4c8a8351ebdb5fdcae9f
DLC5_GraveWoundsSithhudEnchantment,"Whenever the wielder of this weapon confirms a critical hit with it against an enemy who is bleeding, they deal an additional 6d10 unholy damage.",+1,2000,,,"AdditionalDamage, Critical",Weapon,Weapon,Owlcat+,22d2d95953b1436884515614500ab521
DLC5_LightCrossbowEnch,,+1,2000,,,,Weapon,,Owlcat+,d8021dc13b844fd5a5ea8ca74097e7f1
DLC5_MidnightFlailEnchantment,,+1,2000,,,,Weapon,,Owlcat+,9474511a30b04b7fbbf9423879784fd9
DLC5_RingOfShadowStealingEnchantment,,+1,,,,,Other,,Owlcat+,bb8c6ec9bf454d83ae01709e2ab550a6
DLC5_SunlessShieldEnchantment,,+1,1000,,,,Armor,,Owlcat+,b48742d5295541cfaaed02921c7b4cbc
DLC5_SwordOfSithhudGraveWoundsEnchantment,"Whenever the wielder of this weapon confirms a critical hit with it against an enemy who is bleeding, they deal an additional 6d10 unholy damage.",+1,2000,,,"Critical, AdditionalDamage",Weapon,Weapon,Owlcat+,0f4baabf184640a498541386b288241d
DLC5_SwordOfSithhudIcyArmorEnchantment,,+1,2000,,,,Weapon,,Owlcat+,ae8eac604ed346138f42598bd9cb0150
